Rating,Company,Average,Lowest,Highest,yr/mo/hr
3.9,Neo Media World,65078,"77,631","85,063",/yr
3.9,Intellectyx,53893,"64,868","69,865",/yr
3.9,Adda 247,44371,"53,321","57,607",/yr
3.9,Vymo,40072,"47,840","52,341",/yr
3.9,NMIMS,68906,"82,414","89,850",/yr
3.9,Amadeus,13502,"16,090","17,666",/yr
3.9,Meals on Wheels America,17056,"20,260","22,380",/yr
3.9,General Dynamics Information Technology,16617,"19,792","21,751",/yr
3.9,Career Confidential,53382,"64,028","69,427",/yr
3.9,L Brands,1302548,"15,73,135","16,83,235",/yr
3.9,Greenberg Traurig,931124,"5,12,507","18,15,302",/yr
3.9,Indigo Books & Music,401,482,520,/mo
3.9,WiT-ACE,303132,"3,67,028","3,90,803",/yr
3.9,Rubix Data Sciences,624876,"7,48,155","8,14,036",/yr
3.9,Sutherland,183128,"2,20,850","2,36,969",/yr
